,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Kris Dunn,2020-01-29,CHI,@,IND,L,1st,351,1,"Kris Dunn makes 2-pt layup from 3 ft (CHI 8, IND 12)",2,3
1,2,Kris Dunn,2020-01-29,CHI,@,IND,L,2nd,670,1,"Kris Dunn makes 2-pt layup from 1 ft (assist by Tomáš Satoranský) (CHI 51, IND 52)",2,1
2,3,Kris Dunn,2020-01-29,CHI,@,IND,L,3rd,282,1,"Kris Dunn makes 2-pt layup from 4 ft (CHI 61, IND 64)",2,4
3,4,Kris Dunn,2020-01-27,CHI,,SAS,W,1st,96,0,"Kris Dunn misses 3-pt jump shot from 25 ft (CHI 2, SAS 0)",3,25
4,5,Kris Dunn,2020-01-27,CHI,,SAS,W,1st,286,1,"Kris Dunn makes 2-pt layup from 2 ft (assist by Tomáš Satoranský) (CHI 6, SAS 7)",2,2
5,6,Kris Dunn,2020-01-27,CHI,,SAS,W,1st,590,1,"Kris Dunn makes 2-pt layup from 1 ft (CHI 17, SAS 23)",2,1
6,7,Kris Dunn,2020-01-27,CHI,,SAS,W,2nd,361,0,"Kris Dunn misses 3-pt jump shot from 26 ft (CHI 36, SAS 36)",3,26
7,8,Kris Dunn,2020-01-27,CHI,,SAS,W,2nd,427,0,"Kris Dunn misses 2-pt jump shot from 6 ft (block by Trey Lyles) (CHI 38, SAS 40)",2,6
8,9,Kris Dunn,2020-01-27,CHI,,SAS,W,2nd,508,1,"Kris Dunn makes 2-pt layup from 2 ft (assist by Thaddeus Young) (CHI 42, SAS 43)",2,2
9,10,Kris Dunn,2020-01-27,CHI,,SAS,W,3rd,87,1,"Kris Dunn makes 2-pt jump shot from 9 ft (CHI 52, SAS 52)",2,9
10,11,Kris Dunn,2020-01-27,CHI,,SAS,W,3rd,540,1,"Kris Dunn makes 2-pt layup from 2 ft (CHI 65, SAS 71)",2,2
11,12,Kris Dunn,2020-01-27,CHI,,SAS,W,4th,494,0,"Kris Dunn misses 2-pt layup from 2 ft (CHI 101, SAS 101)",2,2
12,13,Kris Dunn,2020-01-25,CHI,@,CLE,W,1st,229,1,"Kris Dunn makes 2-pt layup from 1 ft (assist by Zach LaVine) (CHI 11, CLE 7)",2,1
13,14,Kris Dunn,2020-01-25,CHI,@,CLE,W,1st,257,0,"Kris Dunn misses 3-pt jump shot from 26 ft (CHI 11, CLE 7)",3,26
14,15,Kris Dunn,2020-01-25,CHI,@,CLE,W,1st,283,1,"Kris Dunn makes 2-pt layup at rim (assist by Tomáš Satoranský) (CHI 13, CLE 9)",2,0
15,16,Kris Dunn,2020-01-25,CHI,@,CLE,W,1st,360,0,"Kris Dunn misses 3-pt jump shot from 26 ft (CHI 15, CLE 12)",3,26
16,17,Kris Dunn,2020-01-25,CHI,@,CLE,W,1st,453,1,"Kris Dunn makes 2-pt dunk from 1 ft (assist by Thaddeus Young) (CHI 20, CLE 18)",2,1
17,18,Kris Dunn,2020-01-25,CHI,@,CLE,W,3rd,278,1,"Kris Dunn makes 2-pt layup from 1 ft (CHI 69, CLE 67)",2,1
18,19,Kris Dunn,2020-01-24,CHI,,SAC,L,1st,221,1,"Kris Dunn makes 2-pt layup from 1 ft (assist by Zach LaVine) (CHI 2, SAC 9)",2,1
19,20,Kris Dunn,2020-01-24,CHI,,SAC,L,1st,309,1,"Kris Dunn makes 2-pt layup from 2 ft (CHI 5, SAC 13)",2,2
20,21,Kris Dunn,2020-01-24,CHI,,SAC,L,1st,339,0,"Kris Dunn misses 2-pt layup from 2 ft (CHI 5, SAC 13)",2,2
21,22,Kris Dunn,2020-01-24,CHI,,SAC,L,3rd,135,1,"Kris Dunn makes 2-pt layup from 1 ft (CHI 56, SAC 56)",2,1
22,23,Kris Dunn,2020-01-24,CHI,,SAC,L,3rd,202,1,"Kris Dunn makes 3-pt jump shot from 23 ft (assist by Tomáš Satoranský) (CHI 59, SAC 56)",3,23
23,24,Kris Dunn,2020-01-24,CHI,,SAC,L,4th,158,0,"Kris Dunn misses 2-pt layup from 2 ft (block by Nemanja Bjelica) (CHI 71, SAC 79)",2,2
24,25,Kris Dunn,2020-01-22,CHI,,MIN,W,1st,420,1,"Kris Dunn makes 2-pt layup from 2 ft (CHI 18, MIN 14)",2,2
25,26,Kris Dunn,2020-01-22,CHI,,MIN,W,1st,484,1,"Kris Dunn makes 2-pt jump shot from 6 ft (CHI 23, MIN 18)",2,6
26,27,Kris Dunn,2020-01-22,CHI,,MIN,W,2nd,671,0,"Kris Dunn misses 3-pt jump shot from 25 ft (CHI 58, MIN 49)",3,25
27,28,Kris Dunn,2020-01-22,CHI,,MIN,W,4th,598,1,"Kris Dunn makes 2-pt layup from 1 ft (assist by Tomáš Satoranský) (CHI 108, MIN 108)",2,1
28,29,Kris Dunn,2020-01-20,CHI,@,MIL,L,1st,40,0,"Kris Dunn misses 3-pt jump shot from 26 ft (CHI 0, MIL 3)",3,26
29,30,Kris Dunn,2020-01-20,CHI,@,MIL,L,1st,66,0,"Kris Dunn misses 3-pt jump shot from 24 ft (CHI 0, MIL 3)",3,24
30,31,Kris Dunn,2020-01-20,CHI,@,MIL,L,1st,83,1,"Kris Dunn makes 2-pt layup from 3 ft (CHI 2, MIL 3)",2,3
31,32,Kris Dunn,2020-01-20,CHI,@,MIL,L,1st,176,1,"Kris Dunn makes 3-pt jump shot from 26 ft (assist by Tomáš Satoranský) (CHI 5, MIL 6)",3,26
