,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Grant Williams,2020-03-08,BOS,,OKC,L,1st,719,0,"Grant Williams misses 3-pt jump shot from 50 ft (BOS 26, OKC 29)",3,50
1,2,Grant Williams,2020-03-08,BOS,,OKC,L,3rd,426,0,"Grant Williams misses 3-pt jump shot from 27 ft (BOS 73, OKC 67)",3,27
2,3,Grant Williams,2020-03-08,BOS,,OKC,L,3rd,681,1,"Grant Williams makes 3-pt jump shot from 23 ft (BOS 84, OKC 78)",3,23
3,4,Grant Williams,2020-03-08,BOS,,OKC,L,3rd,712,0,"Grant Williams misses 3-pt jump shot from 25 ft (BOS 84, OKC 80)",3,25
4,5,Grant Williams,2020-03-06,BOS,,UTA,L,1st,526,0,"Grant Williams misses 3-pt jump shot from 26 ft (BOS 27, UTA 16)",3,26
5,6,Grant Williams,2020-03-06,BOS,,UTA,L,4th,233,0,"Grant Williams misses 3-pt jump shot from 25 ft (BOS 73, UTA 87)",3,25
6,7,Grant Williams,2020-03-06,BOS,,UTA,L,4th,330,0,"Grant Williams misses 3-pt jump shot from 27 ft (BOS 78, UTA 87)",3,27
7,8,Grant Williams,2020-03-04,BOS,@,CLE,W,1st,45,1,"Grant Williams makes 2-pt jump shot from 10 ft (BOS 2, CLE 2)",2,10
8,9,Grant Williams,2020-03-04,BOS,@,CLE,W,1st,340,0,"Grant Williams misses 2-pt hook shot from 7 ft (BOS 15, CLE 13)",2,7
9,10,Grant Williams,2020-03-04,BOS,@,CLE,W,2nd,430,1,"Grant Williams makes 2-pt jump shot from 14 ft (assist by Semi Ojeleye) (BOS 48, CLE 40)",2,14
10,11,Grant Williams,2020-03-04,BOS,@,CLE,W,2nd,544,0,"Grant Williams misses 3-pt jump shot from 23 ft (BOS 56, CLE 43)",3,23
11,12,Grant Williams,2020-03-04,BOS,@,CLE,W,2nd,687,1,"Grant Williams makes 2-pt layup from 1 ft (BOS 58, CLE 52)",2,1
12,13,Grant Williams,2020-03-04,BOS,@,CLE,W,3rd,719,1,"Grant Williams makes 2-pt dunk from 2 ft (BOS 81, CLE 77)",2,2
13,14,Grant Williams,2020-03-03,BOS,,BRK,L,2nd,95,0,"Grant Williams misses 2-pt jump shot from 15 ft (BOS 37, BRK 32)",2,15
14,15,Grant Williams,2020-03-03,BOS,,BRK,L,2nd,125,0,"Grant Williams misses 2-pt layup from 3 ft (BOS 37, BRK 32)",2,3
15,16,Grant Williams,2020-03-03,BOS,,BRK,L,2nd,410,1,"Grant Williams makes 2-pt dunk from 1 ft (assist by Marcus Smart) (BOS 44, BRK 36)",2,1
16,17,Grant Williams,2020-03-03,BOS,,BRK,L,2nd,533,0,"Grant Williams misses 3-pt jump shot from 23 ft (BOS 50, BRK 41)",3,23
17,18,Grant Williams,2020-03-03,BOS,,BRK,L,4th,289,0,"Grant Williams misses 3-pt jump shot from 25 ft (BOS 93, BRK 84)",3,25
18,19,Grant Williams,2020-03-03,BOS,,BRK,L,4th,382,1,"Grant Williams makes 2-pt hook shot from 3 ft (assist by Jaylen Brown) (BOS 99, BRK 88)",2,3
19,20,Grant Williams,2020-02-29,BOS,,HOU,L,2nd,170,1,"Grant Williams makes 2-pt layup from 1 ft (assist by Jaylen Brown) (BOS 39, HOU 23)",2,1
20,21,Grant Williams,2020-02-26,BOS,@,UTA,W,3rd,688,0,"Grant Williams misses 3-pt jump shot from 24 ft (BOS 82, UTA 82)",3,24
21,22,Grant Williams,2020-02-23,BOS,@,LAL,L,2nd,148,0,"Grant Williams misses 3-pt jump shot from 23 ft (BOS 26, LAL 33)",3,23
22,23,Grant Williams,2020-02-23,BOS,@,LAL,L,4th,323,1,"Grant Williams makes 2-pt layup at rim (BOS 98, LAL 99)",2,0
23,24,Grant Williams,2020-02-21,BOS,@,MIN,W,1st,525,0,"Grant Williams misses 3-pt jump shot from 23 ft (BOS 20, MIN 15)",3,23
24,25,Grant Williams,2020-02-21,BOS,@,MIN,W,1st,669,0,"Grant Williams misses 3-pt jump shot from 23 ft (BOS 24, MIN 20)",3,23
25,26,Grant Williams,2020-02-21,BOS,@,MIN,W,3rd,598,0,"Grant Williams misses 2-pt layup from 3 ft (block by James Johnson) (BOS 89, MIN 83)",2,3
26,27,Grant Williams,2020-02-21,BOS,@,MIN,W,4th,42,0,"Grant Williams misses 3-pt jump shot from 25 ft (BOS 95, MIN 88)",3,25
27,28,Grant Williams,2020-02-13,BOS,,LAC,W,4th,54,0,"Grant Williams misses 2-pt layup from 2 ft (BOS 91, LAC 89)",2,2
28,29,Grant Williams,2020-02-11,BOS,@,HOU,L,3rd,673,0,"Grant Williams misses 2-pt layup from 4 ft (block by Thabo Sefolosha) (BOS 69, HOU 75)",2,4
29,30,Grant Williams,2020-02-11,BOS,@,HOU,L,4th,619,1,"Grant Williams makes 3-pt jump shot from 24 ft (assist by Brad Wanamaker) (BOS 101, HOU 116)",3,24
30,31,Grant Williams,2020-02-09,BOS,@,OKC,W,1st,565,1,"Grant Williams makes 3-pt jump shot from 26 ft (assist by Brad Wanamaker) (BOS 26, OKC 22)",3,26
31,32,Grant Williams,2020-02-07,BOS,,ATL,W,1st,69,1,"Grant Williams makes 3-pt jump shot from 24 ft (assist by Kemba Walker) (BOS 6, ATL 1)",3,24
32,33,Grant Williams,2020-02-07,BOS,,ATL,W,1st,118,1,"Grant Williams makes 2-pt jump shot from 15 ft (assist by Kemba Walker) (BOS 11, ATL 1)",2,15
33,34,Grant Williams,2020-02-07,BOS,,ATL,W,1st,446,0,"Grant Williams misses 2-pt hook shot from 7 ft (BOS 24, ATL 16)",2,7
34,35,Grant Williams,2020-02-07,BOS,,ATL,W,2nd,448,0,"Grant Williams misses 2-pt layup from 2 ft (BOS 43, ATL 40)",2,2
35,36,Grant Williams,2020-02-07,BOS,,ATL,W,2nd,649,1,"Grant Williams makes 2-pt layup from 2 ft (assist by Kemba Walker) (BOS 51, ATL 51)",2,2
36,37,Grant Williams,2020-02-05,BOS,,ORL,W,1st,645,1,"Grant Williams makes 3-pt jump shot from 23 ft (assist by Javonte Green) (BOS 28, ORL 19)",3,23
