,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Brad Wanamaker,2020-03-10,BOS,@,IND,W,3rd,656,1,"Brad Wanamaker makes 2-pt layup from 2 ft (assist by Enes Kanter) (BOS 91, IND 75)",2,2
1,2,Brad Wanamaker,2020-03-10,BOS,@,IND,W,4th,257,0,"Brad Wanamaker misses 2-pt layup at rim (block by Edmond Sumner) (BOS 100, IND 86)",2,0
2,3,Brad Wanamaker,2020-03-08,BOS,,OKC,L,1st,707,1,"Brad Wanamaker makes 2-pt jump shot from 9 ft (BOS 26, OKC 28)",2,9
3,4,Brad Wanamaker,2020-03-06,BOS,,UTA,L,2nd,126,1,"Brad Wanamaker makes 2-pt layup from 4 ft (assist by Enes Kanter) (BOS 35, UTA 38)",2,4
4,5,Brad Wanamaker,2020-03-06,BOS,,UTA,L,2nd,264,1,"Brad Wanamaker makes 2-pt jump shot from 19 ft (BOS 39, UTA 47)",2,19
5,6,Brad Wanamaker,2020-03-06,BOS,,UTA,L,2nd,417,0,"Brad Wanamaker misses 2-pt jump shot from 18 ft (BOS 41, UTA 51)",2,18
6,7,Brad Wanamaker,2020-03-06,BOS,,UTA,L,3rd,568,0,"Brad Wanamaker misses 2-pt jump shot from 10 ft (BOS 64, UTA 75)",2,10
7,8,Brad Wanamaker,2020-03-06,BOS,,UTA,L,4th,306,1,"Brad Wanamaker makes 2-pt layup from 2 ft (assist by Grant Williams) (BOS 77, UTA 87)",2,2
8,9,Brad Wanamaker,2020-03-06,BOS,,UTA,L,4th,646,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 89, UTA 96)",3,26
9,10,Brad Wanamaker,2020-03-06,BOS,,UTA,L,4th,669,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 89, UTA 96)",3,26
10,11,Brad Wanamaker,2020-03-04,BOS,@,CLE,W,1st,139,1,"Brad Wanamaker makes 2-pt layup at rim (BOS 6, CLE 6)",2,0
11,12,Brad Wanamaker,2020-03-04,BOS,@,CLE,W,1st,349,0,"Brad Wanamaker misses 2-pt layup from 4 ft (BOS 15, CLE 13)",2,4
12,13,Brad Wanamaker,2020-03-04,BOS,@,CLE,W,1st,389,1,"Brad Wanamaker makes 2-pt layup at rim (BOS 17, CLE 13)",2,0
13,14,Brad Wanamaker,2020-03-04,BOS,@,CLE,W,1st,415,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 17, CLE 13)",3,26
14,15,Brad Wanamaker,2020-03-04,BOS,@,CLE,W,3rd,421,0,"Brad Wanamaker misses 3-pt jump shot from 25 ft (BOS 73, CLE 67)",3,25
15,16,Brad Wanamaker,2020-03-04,BOS,@,CLE,W,3rd,488,0,"Brad Wanamaker misses 3-pt jump shot from 25 ft (BOS 73, CLE 69)",3,25
16,17,Brad Wanamaker,2020-03-03,BOS,,BRK,L,2nd,672,0,"Brad Wanamaker misses 2-pt layup from 5 ft (block by Spencer Dinwiddie) (BOS 52, BRK 41)",2,5
17,18,Brad Wanamaker,2020-03-03,BOS,,BRK,L,2nd,709,1,"Brad Wanamaker makes 2-pt layup from 1 ft (assist by Marcus Smart) (BOS 56, BRK 43)",2,1
18,19,Brad Wanamaker,2020-03-03,BOS,,BRK,L,3rd,129,1,"Brad Wanamaker makes 2-pt layup from 2 ft (BOS 60, BRK 45)",2,2
19,20,Brad Wanamaker,2020-03-03,BOS,,BRK,L,3rd,233,1,"Brad Wanamaker makes 2-pt layup from 1 ft (assist by Javonte Green) (BOS 67, BRK 50)",2,1
20,21,Brad Wanamaker,2020-03-03,BOS,,BRK,L,3rd,382,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 71, BRK 53)",3,26
21,22,Brad Wanamaker,2020-03-03,BOS,,BRK,L,3rd,443,1,"Brad Wanamaker makes 3-pt jump shot from 23 ft (assist by Marcus Smart) (BOS 74, BRK 57)",3,23
22,23,Brad Wanamaker,2020-03-03,BOS,,BRK,L,OT,538,0,"Brad Wanamaker misses 3-pt jump shot from 27 ft (BOS 118, BRK 124)",3,27
23,24,Brad Wanamaker,2020-03-03,BOS,,BRK,L,OT,591,0,"Brad Wanamaker misses 2-pt layup from 2 ft (BOS 120, BRK 126)",2,2
24,25,Brad Wanamaker,2020-02-29,BOS,,HOU,L,2nd,328,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 42, HOU 28)",3,26
25,26,Brad Wanamaker,2020-02-29,BOS,,HOU,L,4th,95,0,"Brad Wanamaker misses 2-pt layup from 5 ft (BOS 80, HOU 85)",2,5
26,27,Brad Wanamaker,2020-02-26,BOS,@,UTA,W,2nd,71,0,"Brad Wanamaker misses 2-pt jump shot from 22 ft (BOS 25, UTA 17)",2,22
27,28,Brad Wanamaker,2020-02-26,BOS,@,UTA,W,2nd,321,1,"Brad Wanamaker makes 3-pt jump shot from 26 ft (assist by Gordon Hayward) (BOS 39, UTA 33)",3,26
28,29,Brad Wanamaker,2020-02-26,BOS,@,UTA,W,4th,98,0,"Brad Wanamaker misses 2-pt jump shot from 7 ft (BOS 87, UTA 82)",2,7
29,30,Brad Wanamaker,2020-02-26,BOS,@,UTA,W,4th,337,1,"Brad Wanamaker makes 2-pt jump shot from 7 ft (assist by Jayson Tatum) (BOS 102, UTA 92)",2,7
30,31,Brad Wanamaker,2020-02-26,BOS,@,UTA,W,4th,378,1,"Brad Wanamaker makes 2-pt jump shot from 10 ft (assist by Marcus Smart) (BOS 105, UTA 92)",2,10
31,32,Brad Wanamaker,2020-02-25,BOS,@,POR,W,2nd,14,1,"Brad Wanamaker makes 3-pt jump shot from 26 ft (assist by Enes Kanter) (BOS 31, POR 24)",3,26
32,33,Brad Wanamaker,2020-02-25,BOS,@,POR,W,2nd,126,0,"Brad Wanamaker misses 2-pt jump shot from 7 ft (BOS 33, POR 28)",2,7
33,34,Brad Wanamaker,2020-02-25,BOS,@,POR,W,3rd,682,1,"Brad Wanamaker makes 2-pt jump shot from 20 ft (BOS 83, POR 70)",2,20
34,35,Brad Wanamaker,2020-02-25,BOS,@,POR,W,4th,277,1,"Brad Wanamaker makes 2-pt jump shot from 12 ft (BOS 100, POR 84)",2,12
35,36,Brad Wanamaker,2020-02-25,BOS,@,POR,W,4th,345,0,"Brad Wanamaker misses 2-pt layup from 3 ft (BOS 103, POR 88)",2,3
36,37,Brad Wanamaker,2020-02-25,BOS,@,POR,W,4th,593,1,"Brad Wanamaker makes 3-pt jump shot from 25 ft (BOS 114, POR 96)",3,25
37,38,Brad Wanamaker,2020-02-23,BOS,@,LAL,L,1st,720,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 19, LAL 28)",3,26
38,39,Brad Wanamaker,2020-02-23,BOS,@,LAL,L,2nd,195,0,"Brad Wanamaker misses 2-pt jump shot from 7 ft (BOS 26, LAL 35)",2,7
39,40,Brad Wanamaker,2020-02-23,BOS,@,LAL,L,3rd,487,0,"Brad Wanamaker misses 2-pt jump shot from 23 ft (block by Anthony Davis) (BOS 79, LAL 75)",2,23
40,41,Brad Wanamaker,2020-02-23,BOS,@,LAL,L,3rd,658,0,"Brad Wanamaker misses 2-pt layup from 3 ft (BOS 83, LAL 85)",2,3
41,42,Brad Wanamaker,2020-02-21,BOS,@,MIN,W,2nd,60,1,"Brad Wanamaker makes 2-pt jump shot from 2 ft (BOS 28, MIN 20)",2,2
42,43,Brad Wanamaker,2020-02-21,BOS,@,MIN,W,2nd,117,0,"Brad Wanamaker misses 2-pt jump shot from 11 ft (BOS 28, MIN 20)",2,11
43,44,Brad Wanamaker,2020-02-21,BOS,@,MIN,W,2nd,131,0,"Brad Wanamaker misses 2-pt layup from 1 ft (BOS 30, MIN 20)",2,1
44,45,Brad Wanamaker,2020-02-21,BOS,@,MIN,W,2nd,227,0,"Brad Wanamaker misses 2-pt layup from 1 ft (BOS 35, MIN 28)",2,1
45,46,Brad Wanamaker,2020-02-13,BOS,,LAC,W,1st,574,0,"Brad Wanamaker misses 2-pt jump shot from 6 ft (block by Lou Williams) (BOS 24, LAC 24)",2,6
46,47,Brad Wanamaker,2020-02-13,BOS,,LAC,W,1st,616,0,"Brad Wanamaker misses 2-pt layup from 5 ft (block by Lou Williams) (BOS 26, LAC 26)",2,5
47,48,Brad Wanamaker,2020-02-13,BOS,,LAC,W,2nd,168,1,"Brad Wanamaker makes 2-pt layup from 1 ft (BOS 41, LAC 38)",2,1
48,49,Brad Wanamaker,2020-02-13,BOS,,LAC,W,3rd,551,1,"Brad Wanamaker makes 3-pt jump shot from 26 ft (assist by Semi Ojeleye) (BOS 84, LAC 78)",3,26
49,50,Brad Wanamaker,2020-02-13,BOS,,LAC,W,4th,28,0,"Brad Wanamaker misses 2-pt layup from 1 ft (BOS 91, LAC 89)",2,1
50,51,Brad Wanamaker,2020-02-13,BOS,,LAC,W,4th,153,0,"Brad Wanamaker misses 2-pt layup from 3 ft (BOS 96, LAC 93)",2,3
51,52,Brad Wanamaker,2020-02-11,BOS,@,HOU,L,2nd,182,1,"Brad Wanamaker makes 2-pt layup from 1 ft (assist by Jayson Tatum) (BOS 27, HOU 27)",2,1
52,53,Brad Wanamaker,2020-02-11,BOS,@,HOU,L,2nd,256,1,"Brad Wanamaker makes 2-pt layup from 1 ft (BOS 31, HOU 29)",2,1
53,54,Brad Wanamaker,2020-02-11,BOS,@,HOU,L,2nd,346,0,"Brad Wanamaker misses 2-pt jump shot from 10 ft (BOS 31, HOU 34)",2,10
54,55,Brad Wanamaker,2020-02-11,BOS,@,HOU,L,3rd,644,1,"Brad Wanamaker makes 2-pt layup from 1 ft (assist by Gordon Hayward) (BOS 69, HOU 75)",2,1
55,56,Brad Wanamaker,2020-02-11,BOS,@,HOU,L,3rd,710,0,"Brad Wanamaker misses 2-pt jump shot from 13 ft (BOS 69, HOU 77)",2,13
56,57,Brad Wanamaker,2020-02-11,BOS,@,HOU,L,4th,119,0,"Brad Wanamaker misses 2-pt jump shot from 6 ft (BOS 77, HOU 80)",2,6
57,58,Brad Wanamaker,2020-02-11,BOS,@,HOU,L,4th,147,1,"Brad Wanamaker makes 3-pt jump shot from 25 ft (assist by Jaylen Brown) (BOS 80, HOU 83)",3,25
58,59,Brad Wanamaker,2020-02-11,BOS,@,HOU,L,4th,659,1,"Brad Wanamaker makes 2-pt layup from 1 ft (BOS 103, HOU 116)",2,1
59,60,Brad Wanamaker,2020-02-11,BOS,@,HOU,L,4th,683,0,"Brad Wanamaker misses 3-pt jump shot from 25 ft (BOS 103, HOU 116)",3,25
60,61,Brad Wanamaker,2020-02-09,BOS,@,OKC,W,2nd,257,1,"Brad Wanamaker makes 2-pt layup from 2 ft (BOS 37, OKC 36)",2,2
61,62,Brad Wanamaker,2020-02-09,BOS,@,OKC,W,2nd,302,0,"Brad Wanamaker misses 2-pt jump shot from 19 ft (BOS 40, OKC 37)",2,19
62,63,Brad Wanamaker,2020-02-07,BOS,,ATL,W,1st,583,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 24, ATL 20)",3,26
63,64,Brad Wanamaker,2020-02-07,BOS,,ATL,W,1st,616,0,"Brad Wanamaker misses 2-pt layup from 2 ft (block by Vince Carter) (BOS 24, ATL 20)",2,2
64,65,Brad Wanamaker,2020-02-07,BOS,,ATL,W,1st,682,0,"Brad Wanamaker misses 2-pt jump shot from 7 ft (BOS 28, ATL 24)",2,7
65,66,Brad Wanamaker,2020-02-07,BOS,,ATL,W,2nd,321,1,"Brad Wanamaker makes 2-pt layup from 2 ft (BOS 40, ATL 35)",2,2
66,67,Brad Wanamaker,2020-02-07,BOS,,ATL,W,3rd,662,1,"Brad Wanamaker makes 3-pt jump shot from 27 ft (assist by Jayson Tatum) (BOS 85, ATL 70)",3,27
67,68,Brad Wanamaker,2020-02-07,BOS,,ATL,W,4th,48,0,"Brad Wanamaker misses 2-pt layup from 6 ft (BOS 89, ATL 75)",2,6
68,69,Brad Wanamaker,2020-02-07,BOS,,ATL,W,4th,482,1,"Brad Wanamaker makes 2-pt layup from 3 ft (assist by Jayson Tatum) (BOS 101, ATL 91)",2,3
69,70,Brad Wanamaker,2020-02-05,BOS,,ORL,W,1st,527,1,"Brad Wanamaker makes 3-pt jump shot from 25 ft (assist by Vincent Poirier) (BOS 23, ORL 19)",3,25
70,71,Brad Wanamaker,2020-02-05,BOS,,ORL,W,2nd,30,0,"Brad Wanamaker misses 2-pt layup from 4 ft (block by Mohamed Bamba) (BOS 32, ORL 24)",2,4
71,72,Brad Wanamaker,2020-02-05,BOS,,ORL,W,2nd,71,1,"Brad Wanamaker makes 2-pt layup from 3 ft (BOS 35, ORL 26)",2,3
72,73,Brad Wanamaker,2020-02-05,BOS,,ORL,W,2nd,198,0,"Brad Wanamaker misses 2-pt layup from 5 ft (block by Terrence Ross) (BOS 40, ORL 33)",2,5
73,74,Brad Wanamaker,2020-02-05,BOS,,ORL,W,3rd,421,1,"Brad Wanamaker makes 3-pt jump shot from 25 ft (assist by Gordon Hayward) (BOS 72, ORL 68)",3,25
74,75,Brad Wanamaker,2020-02-05,BOS,,ORL,W,3rd,501,0,"Brad Wanamaker misses 2-pt jump shot from 16 ft (BOS 72, ORL 72)",2,16
75,76,Brad Wanamaker,2020-02-05,BOS,,ORL,W,4th,153,0,"Brad Wanamaker misses 2-pt layup from 3 ft (BOS 91, ORL 86)",2,3
76,77,Brad Wanamaker,2020-02-05,BOS,,ORL,W,4th,225,0,"Brad Wanamaker misses 2-pt jump shot from 22 ft (BOS 94, ORL 91)",2,22
77,78,Brad Wanamaker,2020-02-03,BOS,@,ATL,W,1st,556,0,"Brad Wanamaker misses 2-pt layup from 2 ft (BOS 22, ATL 25)",2,2
78,79,Brad Wanamaker,2020-02-03,BOS,@,ATL,W,1st,585,0,"Brad Wanamaker misses 2-pt jump shot from 22 ft (BOS 24, ATL 28)",2,22
79,80,Brad Wanamaker,2020-02-03,BOS,@,ATL,W,1st,633,0,"Brad Wanamaker misses 2-pt jump shot from 11 ft (BOS 24, ATL 30)",2,11
80,81,Brad Wanamaker,2020-02-03,BOS,@,ATL,W,2nd,100,1,"Brad Wanamaker makes 2-pt jump shot from 11 ft (BOS 34, ATL 37)",2,11
81,82,Brad Wanamaker,2020-02-03,BOS,@,ATL,W,2nd,154,1,"Brad Wanamaker makes 2-pt layup from 2 ft (BOS 38, ATL 39)",2,2
82,83,Brad Wanamaker,2020-02-03,BOS,@,ATL,W,2nd,216,1,"Brad Wanamaker makes 3-pt jump shot from 25 ft (BOS 41, ATL 45)",3,25
83,84,Brad Wanamaker,2020-02-03,BOS,@,ATL,W,2nd,246,1,"Brad Wanamaker makes 3-pt jump shot from 25 ft (assist by Jayson Tatum) (BOS 44, ATL 45)",3,25
84,85,Brad Wanamaker,2020-02-03,BOS,@,ATL,W,3rd,359,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 83, ATL 74)",3,26
85,86,Brad Wanamaker,2020-02-03,BOS,@,ATL,W,3rd,456,1,"Brad Wanamaker makes 2-pt layup from 3 ft (assist by Gordon Hayward) (BOS 88, ATL 76)",2,3
86,87,Brad Wanamaker,2020-02-01,BOS,,PHI,W,1st,538,1,"Brad Wanamaker makes 2-pt jump shot from 10 ft (BOS 24, PHI 12)",2,10
87,88,Brad Wanamaker,2020-02-01,BOS,,PHI,W,1st,696,1,"Brad Wanamaker makes 2-pt dunk from 1 ft (assist by Jaylen Brown) (BOS 32, PHI 18)",2,1
88,89,Brad Wanamaker,2020-02-01,BOS,,PHI,W,2nd,54,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 33, PHI 19)",3,26
89,90,Brad Wanamaker,2020-02-01,BOS,,PHI,W,2nd,330,1,"Brad Wanamaker makes 3-pt jump shot from 26 ft (assist by Jayson Tatum) (BOS 46, PHI 30)",3,26
90,91,Brad Wanamaker,2020-02-01,BOS,,PHI,W,3rd,717,0,"Brad Wanamaker misses 3-pt jump shot from 28 ft (BOS 86, PHI 67)",3,28
91,92,Brad Wanamaker,2020-02-01,BOS,,PHI,W,4th,415,1,"Brad Wanamaker makes 2-pt dunk from 1 ft (BOS 102, PHI 85)",2,1
92,93,Brad Wanamaker,2020-02-01,BOS,,PHI,W,4th,435,1,"Brad Wanamaker makes 3-pt jump shot from 27 ft (assist by Marcus Smart) (BOS 105, PHI 85)",3,27
93,94,Brad Wanamaker,2020-02-01,BOS,,PHI,W,4th,483,0,"Brad Wanamaker misses 3-pt jump shot from 28 ft (BOS 105, PHI 87)",3,28
94,95,Brad Wanamaker,2020-02-01,BOS,,PHI,W,4th,581,0,"Brad Wanamaker misses 2-pt jump shot from 12 ft (BOS 110, PHI 89)",2,12
95,96,Brad Wanamaker,2020-01-30,BOS,,GSW,W,4th,552,0,"Brad Wanamaker misses 2-pt jump shot from 20 ft (BOS 113, GSW 97)",2,20
96,97,Brad Wanamaker,2020-01-30,BOS,,GSW,W,4th,633,0,"Brad Wanamaker misses 2-pt layup from 2 ft (BOS 115, GSW 97)",2,2
97,98,Brad Wanamaker,2020-01-28,BOS,@,MIA,W,2nd,35,0,"Brad Wanamaker misses 2-pt jump shot from 4 ft (BOS 36, MIA 30)",2,4
98,99,Brad Wanamaker,2020-01-28,BOS,@,MIA,W,3rd,717,1,"Brad Wanamaker makes 3-pt jump shot from 26 ft (assist by Grant Williams) (BOS 80, MIA 76)",3,26
99,100,Brad Wanamaker,2020-01-28,BOS,@,MIA,W,4th,43,0,"Brad Wanamaker misses 2-pt layup from 1 ft (block by Bam Adebayo) (BOS 82, MIA 76)",2,1
100,101,Brad Wanamaker,2020-01-28,BOS,@,MIA,W,4th,126,1,"Brad Wanamaker makes 3-pt jump shot from 27 ft (assist by Jaylen Brown) (BOS 86, MIA 78)",3,27
101,102,Brad Wanamaker,2020-01-28,BOS,@,MIA,W,4th,194,0,"Brad Wanamaker misses 2-pt jump shot from 11 ft (BOS 86, MIA 80)",2,11
102,103,Brad Wanamaker,2020-01-26,BOS,@,NOP,L,1st,673,0,"Brad Wanamaker misses 3-pt jump shot from 27 ft (BOS 20, NOP 28)",3,27
103,104,Brad Wanamaker,2020-01-24,BOS,@,ORL,W,1st,549,1,"Brad Wanamaker makes 2-pt jump shot from 16 ft (BOS 20, ORL 27)",2,16
104,105,Brad Wanamaker,2020-01-24,BOS,@,ORL,W,1st,590,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 20, ORL 27)",3,26
105,106,Brad Wanamaker,2020-01-24,BOS,@,ORL,W,1st,678,1,"Brad Wanamaker makes 2-pt layup from 1 ft (assist by Javonte Green) (BOS 24, ORL 30)",2,1
106,107,Brad Wanamaker,2020-01-24,BOS,@,ORL,W,2nd,34,0,"Brad Wanamaker misses 2-pt jump shot from 21 ft (BOS 24, ORL 30)",2,21
107,108,Brad Wanamaker,2020-01-24,BOS,@,ORL,W,3rd,663,1,"Brad Wanamaker makes 2-pt layup from 3 ft (assist by Grant Williams) (BOS 80, ORL 73)",2,3
108,109,Brad Wanamaker,2020-01-24,BOS,@,ORL,W,4th,129,0,"Brad Wanamaker misses 3-pt jump shot from 25 ft (BOS 90, ORL 80)",3,25
109,110,Brad Wanamaker,2020-01-22,BOS,,MEM,W,1st,623,1,"Brad Wanamaker makes 2-pt layup from 2 ft (BOS 20, MEM 21)",2,2
110,111,Brad Wanamaker,2020-01-22,BOS,,MEM,W,1st,674,0,"Brad Wanamaker misses 3-pt jump shot from 26 ft (BOS 20, MEM 25)",3,26
111,112,Brad Wanamaker,2020-01-22,BOS,,MEM,W,2nd,172,1,"Brad Wanamaker makes 2-pt layup from 2 ft (BOS 33, MEM 31)",2,2
112,113,Brad Wanamaker,2020-01-22,BOS,,MEM,W,3rd,620,1,"Brad Wanamaker makes 2-pt layup from 2 ft (assist by Marcus Smart) (BOS 93, MEM 58)",2,2
