,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Wilson Chandler,2020-03-10,BRK,@,LAL,W,1st,154,1,"Wilson Chandler makes 3-pt jump shot from 26 ft (assist by Caris LeVert) (BRK 7, LAL 4)",3,26
1,2,Wilson Chandler,2020-03-10,BRK,@,LAL,W,2nd,718,0,"Wilson Chandler misses 3-pt jump shot from 23 ft (BRK 56, LAL 58)",3,23
2,3,Wilson Chandler,2020-03-08,BRK,,CHI,W,1st,121,0,"Wilson Chandler misses 3-pt jump shot from 24 ft (BRK 2, CHI 5)",3,24
3,4,Wilson Chandler,2020-03-08,BRK,,CHI,W,1st,153,0,"Wilson Chandler misses 3-pt jump shot from 22 ft (BRK 2, CHI 5)",3,22
4,5,Wilson Chandler,2020-03-08,BRK,,CHI,W,2nd,421,0,"Wilson Chandler misses 3-pt jump shot from 26 ft (BRK 40, CHI 41)",3,26
5,6,Wilson Chandler,2020-03-08,BRK,,CHI,W,2nd,555,0,"Wilson Chandler misses 3-pt jump shot from 22 ft (BRK 46, CHI 45)",3,22
6,7,Wilson Chandler,2020-03-08,BRK,,CHI,W,3rd,201,1,"Wilson Chandler makes 3-pt jump shot from 25 ft (assist by Caris LeVert) (BRK 65, CHI 56)",3,25
7,8,Wilson Chandler,2020-03-08,BRK,,CHI,W,3rd,249,1,"Wilson Chandler makes 3-pt jump shot from 23 ft (assist by Spencer Dinwiddie) (BRK 68, CHI 56)",3,23
8,9,Wilson Chandler,2020-03-08,BRK,,CHI,W,3rd,325,0,"Wilson Chandler misses 2-pt layup from 6 ft (block by Daniel Gafford) (BRK 68, CHI 57)",2,6
9,10,Wilson Chandler,2020-03-06,BRK,,SAS,W,1st,195,1,"Wilson Chandler makes 3-pt jump shot from 26 ft (assist by Spencer Dinwiddie) (BRK 14, SAS 6)",3,26
10,11,Wilson Chandler,2020-03-06,BRK,,SAS,W,2nd,537,0,"Wilson Chandler misses 3-pt jump shot from 25 ft (BRK 71, SAS 46)",3,25
11,12,Wilson Chandler,2020-03-06,BRK,,SAS,W,3rd,43,0,"Wilson Chandler misses 3-pt jump shot from 28 ft (BRK 75, SAS 59)",3,28
12,13,Wilson Chandler,2020-03-04,BRK,,MEM,L,1st,473,0,"Wilson Chandler misses 3-pt jump shot from 25 ft (BRK 13, MEM 14)",3,25
13,14,Wilson Chandler,2020-03-04,BRK,,MEM,L,2nd,405,0,"Wilson Chandler misses 3-pt jump shot from 25 ft (BRK 35, MEM 35)",3,25
14,15,Wilson Chandler,2020-03-04,BRK,,MEM,L,2nd,440,1,"Wilson Chandler makes 2-pt jump shot from 9 ft (BRK 37, MEM 37)",2,9
15,16,Wilson Chandler,2020-03-04,BRK,,MEM,L,3rd,607,0,"Wilson Chandler misses 3-pt jump shot from 26 ft (BRK 63, MEM 78)",3,26
16,17,Wilson Chandler,2020-03-03,BRK,@,BOS,W,1st,385,1,"Wilson Chandler makes 3-pt jump shot from 26 ft (assist by Garrett Temple) (BRK 17, BOS 21)",3,26
17,18,Wilson Chandler,2020-03-03,BRK,@,BOS,W,1st,639,0,"Wilson Chandler misses 3-pt jump shot from 27 ft (BRK 25, BOS 30)",3,27
18,19,Wilson Chandler,2020-03-03,BRK,@,BOS,W,3rd,354,0,"Wilson Chandler misses 2-pt jump shot from 5 ft (BRK 50, BOS 71)",2,5
19,20,Wilson Chandler,2020-03-03,BRK,@,BOS,W,3rd,541,0,"Wilson Chandler misses 3-pt jump shot from 25 ft (BRK 62, BOS 79)",3,25
20,21,Wilson Chandler,2020-03-03,BRK,@,BOS,W,3rd,577,0,"Wilson Chandler misses 3-pt jump shot from 23 ft (BRK 62, BOS 79)",3,23
21,22,Wilson Chandler,2020-02-29,BRK,@,MIA,L,1st,624,1,"Wilson Chandler makes 3-pt jump shot from 25 ft (assist by Caris LeVert) (BRK 20, MIA 19)",3,25
